,Clock,Susceptible,Incubated,Infectious-Asymptomatic,Infectious-MildModerateSymptoms,Infectious-SevereSymptoms,Infectious-CriticalSymptoms,Recovered-TemporaryImmunity,Deceased,HealthCareUnit-OccupiedBeds
0,2000-01-01T00:00,10000,0,0,0,0,0,0,0,0
1,2000-01-01T01:00,9900,100,0,0,0,0,0,0,0
2,2000-01-01T02:00,9900,100,0,0,0,0,0,0,0
3,2000-01-01T03:00,9900,100,0,0,0,0,0,0,0
4,2000-01-01T04:00,9900,100,0,0,0,0,0,0,0
5,2000-01-01T05:00,9900,100,0,0,0,0,0,0,0
6,2000-01-01T06:00,9900,100,0,0,0,0,0,0,0
7,2000-01-01T07:00,9900,100,0,0,0,0,0,0,0
8,2000-01-01T08:00,9900,100,0,0,0,0,0,0,0
9,2000-01-01T09:00,9900,100,0,0,0,0,0,0,0
10,2000-01-01T10:00,9900,100,0,0,0,0,0,0,0
11,2000-01-01T11:00,9900,100,0,0,0,0,0,0,0
12,2000-01-01T12:00,9900,100,0,0,0,0,0,0,0
13,2000-01-01T13:00,9900,100,0,0,0,0,0,0,0
14,2000-01-01T14:00,9900,100,0,0,0,0,0,0,0
15,2000-01-01T15:00,9900,100,0,0,0,0,0,0,0
16,2000-01-01T16:00,9900,100,0,0,0,0,0,0,0
17,2000-01-01T17:00,9900,100,0,0,0,0,0,0,0
18,2000-01-01T18:00,9900,100,0,0,0,0,0,0,0
19,2000-01-01T19:00,9900,100,0,0,0,0,0,0,0
20,2000-01-01T20:00,9900,100,0,0,0,0,0,0,0
21,2000-01-01T21:00,9900,100,0,0,0,0,0,0,0
22,2000-01-01T22:00,9900,100,0,0,0,0,0,0,0
23,2000-01-01T23:00,9900,100,0,0,0,0,0,0,0
24,2000-01-02T00:00,9900,100,0,0,0,0,0,0,0
25,2000-01-02T01:00,9900,99,0,1,0,0,0,0,0
26,2000-01-02T02:00,9900,99,0,1,0,0,0,0,0
27,2000-01-02T03:00,9900,99,0,1,0,0,0,0,0
28,2000-01-02T04:00,9900,99,0,1,0,0,0,0,0
29,2000-01-02T05:00,9900,99,0,1,0,0,0,0,0
30,2000-01-02T06:00,9900,99,0,1,0,0,0,0,0
31,2000-01-02T07:00,9900,99,0,1,0,0,0,0,0
32,2000-01-02T08:00,9900,99,0,1,0,0,0,0,0
33,2000-01-02T09:00,9900,99,0,1,0,0,0,0,0
34,2000-01-02T10:00,9900,99,0,1,0,0,0,0,0
35,2000-01-02T11:00,9900,99,0,1,0,0,0,0,0
36,2000-01-02T12:00,9900,99,0,1,0,0,0,0,0
37,2000-01-02T13:00,9900,99,0,1,0,0,0,0,0
38,2000-01-02T14:00,9900,99,0,1,0,0,0,0,0
39,2000-01-02T15:00,9900,99,0,1,0,0,0,0,0
40,2000-01-02T16:00,9900,99,0,1,0,0,0,0,0
41,2000-01-02T17:00,9900,99,0,1,0,0,0,0,0
42,2000-01-02T18:00,9900,99,0,1,0,0,0,0,0
43,2000-01-02T19:00,9900,99,0,1,0,0,0,0,0
44,2000-01-02T20:00,9899,100,0,1,0,0,0,0,0
45,2000-01-02T21:00,9899,100,0,1,0,0,0,0,0
46,2000-01-02T22:00,9898,101,0,1,0,0,0,0,0
47,2000-01-02T23:00,9898,101,0,1,0,0,0,0,0
48,2000-01-03T00:00,9898,101,0,1,0,0,0,0,0
49,2000-01-03T01:00,9898,95,3,4,0,0,0,0,0
50,2000-01-03T02:00,9896,97,3,4,0,0,0,0,0
51,2000-01-03T03:00,9896,97,3,4,0,0,0,0,0
52,2000-01-03T04:00,9896,97,3,4,0,0,0,0,0
53,2000-01-03T05:00,9895,98,3,4,0,0,0,0,0
54,2000-01-03T06:00,9895,98,3,4,0,0,0,0,0
55,2000-01-03T07:00,9895,98,3,4,0,0,0,0,0
56,2000-01-03T08:00,9895,98,3,4,0,0,0,0,0
57,2000-01-03T09:00,9894,99,3,4,0,0,0,0,0
58,2000-01-03T10:00,9893,100,3,4,0,0,0,0,0
59,2000-01-03T11:00,9889,104,3,4,0,0,0,0,0
60,2000-01-03T12:00,9889,104,3,4,0,0,0,0,0
61,2000-01-03T13:00,9887,106,3,4,0,0,0,0,0
62,2000-01-03T14:00,9886,107,3,4,0,0,0,0,0
63,2000-01-03T15:00,9886,107,3,4,0,0,0,0,0
64,2000-01-03T16:00,9885,108,3,4,0,0,0,0,0
65,2000-01-03T17:00,9885,108,3,4,0,0,0,0,0
66,2000-01-03T18:00,9884,109,3,4,0,0,0,0,0
67,2000-01-03T19:00,9883,110,3,4,0,0,0,0,0
68,2000-01-03T20:00,9883,110,3,4,0,0,0,0,0
69,2000-01-03T21:00,9883,110,3,4,0,0,0,0,0
70,2000-01-03T22:00,9882,111,3,4,0,0,0,0,0
71,2000-01-03T23:00,9882,111,3,4,0,0,0,0,0
72,2000-01-04T00:00,9882,111,3,4,0,0,0,0,0
73,2000-01-04T01:00,9882,99,5,14,0,0,0,0,0
74,2000-01-04T02:00,9881,100,5,14,0,0,0,0,0
75,2000-01-04T03:00,9879,102,5,14,0,0,0,0,0
76,2000-01-04T04:00,9878,103,5,14,0,0,0,0,0
77,2000-01-04T05:00,9875,106,5,14,0,0,0,0,0
78,2000-01-04T06:00,9873,108,5,14,0,0,0,0,0
79,2000-01-04T07:00,9873,108,5,14,0,0,0,0,0
80,2000-01-04T08:00,9873,108,5,14,0,0,0,0,0
81,2000-01-04T09:00,9871,110,5,14,0,0,0,0,0
82,2000-01-04T10:00,9866,115,5,14,0,0,0,0,0
83,2000-01-04T11:00,9864,117,5,14,0,0,0,0,0
